id,CompanyName,CustomerSpend,IsPro,Password,Rating,Zip,IsAvailable
1,looon systems,1081934.14,1,test,4,7003,1
2,dotster,2515006.16,1,test,4.5,44146,1
3,yeddscro systems,3795092.59,1,test,4,45840,1
4,plurspace,2902622.09,1,test,4,6516,1
5,twisauce,1281963.51,1,test,4.5,54701,1
6,vertbox,1156031.47,1,test,4,55033,1
7,dotga collective,1047103.16,1,test,4.5,1845,1
8,livester,1371684.01,1,test,4,32937,1
9,youbo labs,1573984.75,1,test,4.5,7501,1
10,xobee,3745308.5,1,test,4,36532,1
11,rasense collective,1771696.89,1,test,4,55303,1
12,jala,1886670.03,1,test,4.5,14850,1
13,youzing,2055253.32,1,test,4,6824,1
14,rageo,1623121.34,1,test,4.5,7076,1
15,plurstar,1017759.68,1,test,4,75604,1
16,mykee labs,1830332.54,1,test,4,1923,1
17,ibiba,673800.06,1,test,3,68801,1
18,inifish,504461.26,1,test,3,46322,1
19,bozing,599466.85,1,test,3,21113,1
20,jamee,521814.22,1,test,3,60451,1
21,glifspace,945086.57,1,test,3.5,54401,1
22,cloudify systems,903922.7,1,test,3,46901,1
23,truzing collective,977680.95,1,test,3,22180,1
24,vertsauce labs,790117.18,1,test,3,11720,1
25,trunet,700432.21,1,test,3,8401,1
26,quirbbee,721669.81,1,test,3,38671,1
27,rabo media,628326.77,1,test,3,43612,1
28,cloudzizzl,578283.6,1,test,3,11710,1
29,glifdoo,517367.15,1,test,3.5,33020,1
30,youkee,826169.05,1,test,3,23059,1
31,janet,599132.01,1,test,3,4401,1
32,ily,526587.72,1,test,3,11756,1
33,bogo,665767.83,1,test,3,11550,1
34,inister,652658.52,1,test,3,20901,1
35,xogo designs,923989.57,1,test,3,49684,1
36,loonico labs,640513.07,1,test,3.5,23059,1
37,trumo,673800.06,1,test,3,20170,1
38,blingbo,700432.21,1,test,3,27012,1
39,adkee,799365.61,1,test,3.5,18944,1
40,rala,761692.83,1,test,3,48237,1
41,kabfish,689284.95,1,test,3,3820,1
42,bodoo media,577394.77,1,test,3.5,48348,1
43,loohop,854728.68,1,test,3,17402,1
44,livesy,660744.47,1,test,3,14424,1
45,adkee,520677.79,1,test,3,11784,1
46,remnit,589372.19,1,test,3,15206,1
47,inimee,681898.76,1,test,3.5,8050,1
48,smugbo systems,535079.88,1,test,3,14120,1
49,progo,329164.18,1,test,3,90278,1
50,raify,359352.69,1,test,3,34952,1
51,skobo,353414.44,1,test,3.5,44122,1
52,scroton,353839.75,1,test,3,34116,1
53,plurbo,337676.86,1,test,3,8205,1
54,youhop labs,297077.98,1,test,3.5,61604,1
55,adly,305892.31,1,test,3,11368,1
56,fildoodle,487926.26,1,test,3,30180,1
57,isense,251231.26,1,test,3.5,10451,1
58,rembox,349506.04,1,test,3,14450,1
59,vertkee labs,341985.79,1,test,3,15701,1
60,yonico,267303.46,1,test,3,50701,1
61,truyou,264924.6,1,test,3,46530,1
62,claxla collective,268014.5,1,test,3,10301,1
63,yeddzizzl,5156.22,1,test,2.5,75115,1
64,dotjing,57522.29,1,test,3,27028,1
65,smugqa,105944.49,1,test,3,32955,1
66,twistar labs,9271.57,1,test,2.5,49423,1
67,prockr designs,71262.98,1,test,3,35124,1
68,associate 1,0,0,test,4,30144,1
69,associate 2,0,0,test,4,30144,1
70,associate 3,0,0,test,4,30144,1
71,associate 4,0,0,test,4,30144,1
72,associate 5,0,0,test,4,30144,1
73,associate 6,0,0,test,4,30144,1
74,associate 7,0,0,test,4,30144,1
75,associate 8,0,0,test,4,30144,1
76,associate 9,0,0,test,4,30144,1
77,associate 10,0,0,test,4,30144,1
78,associate 11,0,0,test,4,30144,1
79,associate 12,0,0,test,4,30144,1
80,associate 13,0,0,test,4,30144,1
81,associate 14,0,0,test,4,30144,1
82,associate 15,0,0,test,4,30144,1
83,associate 16,0,0,test,4,30144,1
84,associate 17,0,0,test,4,30144,1
85,associate 18,0,0,test,4,30144,1
86,associate 19,0,0,test,4,30144,1
87,associate 20,0,0,test,4,30144,1
88,associate 21,0,0,test,4,30144,1
89,associate 22,0,0,test,4,30144,1
90,associate 23,0,0,test,4,30144,1
91,associate 24,0,0,test,4,30144,1
92,associate 25,0,0,test,4,30144,1
93,associate 26,0,0,test,4,30144,1
94,associate 27,0,0,test,4,30144,1
95,associate 28,0,0,test,4,30144,1
96,associate 29,0,0,test,4,30144,1
97,associate 30,0,0,test,4,30144,1
98,associate 31,0,0,test,4,30144,1
99,associate 32,0,0,test,4,30144,1
100,associate 33,0,0,test,4,30144,1
101,associate 34,0,0,test,4,30144,1
102,associate 35,0,0,test,4,30144,1
103,associate 36,0,0,test,4,30144,1
104,associate 37,0,0,test,4,30144,1
105,associate 38,0,0,test,4,30144,1
106,associate 39,0,0,test,4,30144,1
107,associate 40,0,0,test,4,30144,1
